,Complaints,Emotion
6930,the credit card never late address updated paymnet sent time i contacted chase directly multiple time update address contiuned mail stamnets paymets old address i spoke associate explained situation descriminating due old address new address she assist i transfered hung multiple time this unaccaptable jp morgan chase this business card jp morgan chase card acct  last digit opened showing time late incorrect closed account i told account still opened reported  credit limit manner payment day late incorrect balance,Fear
15871,transunion reporting incorrectly late payment   partial account number  please see page attached credit report we going try start automatic bill pay however first time tried use bill pay payment didnt take go first month went back manually paying bill i thought sure original payment would gone time however we got worried paid by time late reported late  this inaccurate reporting harming credit score,Fear
3111,my mortgage recently month back assigned phh mortgage i fairly certain assignment loan opposed servicing function i sure my complaint related fee charging connection online phone payment they also recurring issue website payment portal my previous mortgagee charge fee online payment a soon phh got involved started charge online phone payment when i questioned position i electing pay fee paying via check recurring automatic payment apparently charge fee form payment all communication go great length reassure consented payment retain portion pay portion third party service phh also buggy payment website it work half time today i tried log pay bill site on call acknowledged recurring problem said working finally i question escrow practice the previous mortgage company would send check periodically escrow balance would exceed maximum allowable limit permitted hold i believe said something like estimated insurance tax expense next six month i gotten refund phh payment going one increase legitimate happened connection increase insurance premium increase premium year i ca explain increase i date i ca log onto website i tend pay mortgage last day month so fee charged near end month past several month thanks help,Fear
13046,patient   provider    collection harvest associate i    tx     emergency service date   texas claim  i went     tx treated   i gave insurance contact information staff i received one bill hospital paid full i received bill it   checking credit report i noticed collection i called hospital told doctor i received bill doctor collection so i called collection according doctor get contact insurance information hospital thus gave debt they admitted neither doctor collection ever contacted bill contact information i told lady fault i gave information hospital information sent bill insurance claim part it doctor hospital responsibility communicate information correctly timely it unfair penalize consumer putting directly collection credit report negatively impacting life i also gave correct address correct insurance information she promised collection record would removed credit report insurance paid however successfully claimed insurance collection record still report showing smaller amount due fine something i owe i pay today i received anything mail it unethical promised fault start end anyway communicate anything got money i called number could reach time,Fear
9377,i received call today someone calling  number stating i sued they stated could give information process server file sealed certified they attempted verify name last s i told name verifying incorrect last social correct i asked information regarding company etc responded know would connect company i wanted detail upon connected company told call monitored recorded quality assurance purpose attempted verify name last social i told wrong name they said mediation service trying serve lawsuit plaintiff  bank i asked name debt collection company insisted mediator attempting locate suit i asked year debt stated  i asked trying collect debt year old they stated collecting debt trying notify suit i told i knowledge debt asked address i would filing legal suit the csr told  tx i asked licensed bonded collect ill they stated debt collection agency i told csr i knowledge debt upon investigation look like debt collection agency misleading false misrepresentation kind business operating furthermore fdcpa law legally allowed collect zombie debt year,Fear
12600,alliant credit union continues send letter i breach term agreement threatening raise apr i previously sent email several executive credit union attempt clear matter however appears  managed somehow  situation blame consumer i received two phone call credit union representative i followed instruction    prof credit union received information asked vehicle title notarized power attorney two copy,Fear
7396,       nc   to may concern this complaint towards paypal credit     i realized time get assistance issue company deliberately refuse put money account pay balance regular purchase they want interest money fleece customer the last date i contacted paypal prior i would call call even saturday time i told money would applied proper account i would check online find change would put money towards promotional balance even wasnt due i would explain i wanted regular purchase amount paid also reason paying extra amount money cover promotion balance regular purchase amount keep paying interest the  promotion due prime example money accounted i paid i want know  what company done money this would avoided customer service would honest posting money i requested there money unaccounted amount  i paid since beginning year i problem customer service posting money correct account they refuse put money i request pay regular purchase well promotional balance there special promotion finance customer six month pay without interest also regular purchase customer pay within day without interest each representative say something different time i call on   promotion amount  i paid  i promotion  i paid   two promotional balance  i paid additional  i paid   promotion was i paid  i paid  the total promotion      balance towards regular purchase customer service refuse post  towards regular purchase total amount  instead paid portion  promotion amount  leaving balance  there money i paid accounted  paid towards  promotion due leaving balance   paid   applied regular purchase money now inappropriate conduct charged  also increased regular purchase  amount these regular purchase i made date amount  amount  amount  amount  amount  i see i given credit three amount  i added total amount  there error calculation purchase amount  instead  i charged anything regular purchase since purchase never anymore i paid regular purchase customer service refuse post money account this wrong unethical company miss handle customer money paying bill bad unfair business practice i attached document bank statement thank time patience i tried make information easy enough understanding thank you  ,Fear
7850,for year i depositing making withdrawal u banki always make deposited majority cash overall i credit union account i wrote check credit union account to cover bill amount deposit i would normally cash particular time i sick i unable make bank i mobile deposit needle to say risk hold account i never negative done bogus activity mu account happen caused account go negative of bill set come account i negative i perfect credit well approved credit card risk done something awful this caused much stress imagine trying get gas card decline i really feel like race involved particular case almost like predatory lending,Fear
13473,i checked credit report identified personal information belong i victim identity theft one first step told check report discrepancy i notified credit bureau change made,Fear
11747,through divorce filing audit prior tax return personal file discovered several refinances purchase gain additional commission compensation affect joint tax return these included refinances brother child on husband loan officer involved mortgage fraud closing loan son intended investment property owner occupied there documented proof purchase loan given son intended gain lower interest rate submitting loan owner occupied fact family member never intended live subject property living country there document show property listed rent   list day prior closing loan tenant moved day closing i bringing attention hope full investigation conducted fbi,Fear
6340,received letter telecheck service no name attached address stated billing total amount owed addressed    prior resident address deceased almost year current resident unaware company charge attempted call telecheck service asked checking account number routing number date birth billing zip code information could provided when asked speak manager sent generic voicemail,Fear
869,on paypal business debit card fraudulently charged i received alert via text message charge i immediately called paypal number let know they closed card said would reissue new card they also said would investigate claim give provisional credit amount on sent notice case closed fraudulent charge unauthorized amount would made permanent refund it appears also reopened case day i made aware permanently deducted paypal account stating note after carefully reviewing case found authorized transaction couldnt covered paypal purchase protection we unable provide refund transaction i immediately called told amount charge similar purchase i made therefore deemed authorized without investigation they suggested reopen file item received arguing i never placed order item filed manner say item allowed paypal purchase protection then filed missing item even though i never ordered item allowed paypal purchase protection after removed money first time i contacted supposed vendor charge took place calling phone number listed charge the vendor explained third time happened company place charge the spelling completely different business so apparently fraudulently charged account using business information well this could easily checked merchant verification information realized information going someone besides business listed so time never completely investigated dismissed saying i purchase similar amount one correct i spoke paypal employee thursday   going open appeal she stated i would receive email within hour appeal course i my hand tied i without money time i need,Fear
15067,i disputed debt mine the company agreed suppose removed credit report per response  however still reporting negatively,Fear
6157,remove vioilations attached the fair debt collection practice act fdcpa pub stat codified approved  subsequently amended consumer protection amendment establishing legal protection abusive debt collection practice consumer credit protection act title viii act the statute stated purpose eliminate abusive practice collection consumer debt promote fair debt collection provide consumer avenue disputing obtaining validation debt information order ensure information accuracy the act creates guideline debt collector may conduct business defines right consumer involved debt collector prescribes penalty remedy violation act it sometimes used conjunction fair credit reporting act  occ ass  penalty against   order bank reimburse consumer unfair billing practice   the bureau found   violated consumer financial protection act way administered mandatory insurance program related auto loan a expected bank assessed  penalty cfpb  penalty occ civil violation count debt   ftc settlement imposes fine against online retailer failing post required energyguide information appliance agency file complaint seeking penalty against another retailer for similar violation   the ftc also alleges   falsely told loan applicant investor have backed your loan knowing many would never get loan practice delayed applicant seeking loan elsewhere the company charged violating ftc act act,Fear
14590,i recently received copy credit report found   account   showed past due balance day past due information true account paid full  balance however several dispute information updated,Fear
8625,my student loan serviced navient repeatedly recommended encouraged go forbearance   rather make qualifying payment towards would public service loan forgiveness pslf this extended loan obligation end cost thousand dollar it coming light various reporting deliberate strategy part get borrower phone i would happy provide whatever evidence necessary cfpb take action navient intentionally misleading borrower,Fear
11373,i went   located          inquiring tooth extraction after quoted price i felt high i told account specialist i would go place le expensive she proceeded tell i actually credit owed previous porcelain crown procedure   would cover cost so natural i agreed tooth extraction since i wouldnt owe money after procedure complete i double checked lady bill told everything covered i believed left some week later i received call voicemail left account specialist stating apologize misinformed she stated credit told could used   location i porcelain crown procedure done i needed come make payment in mind didnt make since company so i refused pay i moved prior tooth extraction i never received bill i get email  i never received email bill some year went last year i notice collection credit report   original creditor im sure amount insurance paid portion that need investigated also so i reached going location i tooth extraction there new account specialist named   i spoke she professional helpful   pulled account agreed i owed nothing credit i applied tooth extraction then i explained situation investigated account little deeper saw problem then miss  informed i told wrong twice she said credit owed back wasnt credit i could use location porcelain cap procedure instead owed back insurance company my heart dropped upon hearing she stated bill sent i explained i moved prior tooth extraction bill sent never forwarded i pleaded since im technically victim misinformation bait switch move could allow pay bill right remove collection she asked    told removed i pay bill i recorded voicemail company admitting misinforming mishandling fund i date i didnt receive paper work letter receipt i told i owed nothing  allowed keep credit file no professional company would opinion,Fear
